Schedule ID,Schedule Title,Schedule Weight,Budget Line,Column,Cell Key,Format,Entry Mode,Calculation Rule,Instructor Solution
cashflow,Pro-Forma Statement of Cash Flows — Indirect Method,7,Depreciation expense,Total,cashflow.depreciation.Total,currency,student_input,,880000.0
cashflow,Pro-Forma Statement of Cash Flows — Indirect Method,7,Increase in accounts receivable,Total,cashflow.increase_ar.Total,currency,student_input,,-907500.0
cashflow,Pro-Forma Statement of Cash Flows — Indirect Method,7,Increase in raw-material inventory,Total,cashflow.increase_rm.Total,currency,student_input,,-10206.0
cashflow,Pro-Forma Statement of Cash Flows — Indirect Method,7,Increase in finished-goods inventory,Total,cashflow.increase_fg.Total,currency,student_input,,-53109.37
cashflow,Pro-Forma Statement of Cash Flows — Indirect Method,7,Increase in accounts payable,Total,cashflow.increase_ap.Total,currency,student_input,,44509.0
cashflow,Pro-Forma Statement of Cash Flows — Indirect Method,7,Net cash provided by operating activities,Total,cashflow.cfo.Total,currency,student_input,,1031015.95
cashflow,Pro-Forma Statement of Cash Flows — Indirect Method,7,Capital expenditures,Total,cashflow.capex.Total,currency,student_input,,-2050000.0
cashflow,Pro-Forma Statement of Cash Flows — Indirect Method,7,Net cash used in investing activities,Total,cashflow.cfi.Total,currency,student_input,,-2050000.0
cashflow,Pro-Forma Statement of Cash Flows — Indirect Method,7,Borrowings,Total,cashflow.borrowings.Total,currency,student_input,,1800000.0
cashflow,Pro-Forma Statement of Cash Flows — Indirect Method,7,Debt repayments,Total,cashflow.repayments.Total,currency,student_input,,-500000.0
cashflow,Pro-Forma Statement of Cash Flows — Indirect Method,7,Dividends paid,Total,cashflow.dividends.Total,currency,student_input,,-400000.0
cashflow,Pro-Forma Statement of Cash Flows — Indirect Method,7,Net cash provided by financing activities,Total,cashflow.cff.Total,currency,student_input,,900000.0
cashflow,Pro-Forma Statement of Cash Flows — Indirect Method,7,Net change in cash,Total,cashflow.net_change_cash.Total,currency,student_input,,-118984.05
cashflow,Pro-Forma Statement of Cash Flows — Indirect Method,7,Beginning cash,Total,cashflow.beginning_cash.Total,currency,student_input,,650000.0
cashflow,Pro-Forma Statement of Cash Flows — Indirect Method,7,Ending cash,Total,cashflow.ending_cash.Total,currency,student_input,,531015.95
